Got process 3807
Got interface enp0s3
processes: 3807
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		3807
1530		5/112257		5/0		0		56
1532		9/112258		9/1		0		62
1534		26/112699		26/441		0		52
1536		14/112942		14/243		0		48
1538		11/113020		11/78		0		57
1540		4/113020		4/0		0		60
1542		11/113021		11/1		0		61
1544		19/113237		19/216		0		50
1546		15/113477		15/240		0		50
1548		15/113590		15/113		0		61
1550		5/113590		5/0		0		57
1552		9/113591		9/1		0		56
1554		15/113772		15/181		0		43
1556		15/114022		15/250		0		51
1558		18/114251		18/229		0		63
1560		5/114251		5/0		0		66
1562		11/114252		11/1		0		51
1564		16/114427		16/175		0		52
1566		15/114713		15/286		0		13
1568		13/114862		13/149		0		61
1570		8/114863		8/1		0		41
1572		5/114863		5/0		0		41
1574		19/115038		19/175		0		54
1576		10/115110		10/72		0		41
1578		13/115111		13/1		0		40
1580		13/115112		13/1		0		55
1582		10/115203		10/91		0		51
1584		28/115602		28/399		0		56
1586		14/115785		14/183		0		57
1588		22/116060		22/275		0		7
1590		26/116447		26/387		0		60
1592		7/116477		7/30		0		60
1594		9/116478		9/1		0		58
1596		5/116478		5/0		0		61
1598		13/116580		13/102		0		50
1600		24/116907		24/327		0		56
1602		12/117071		12/164		0		55
1604		20/117301		20/230		0		62
1606		23/117532		23/231		0		47
1608		30/117893		30/361		0		52
1610		30/118265		30/372		0		62
1612		9/118266		9/1		0		57
1614		27/118589		27/323		0		57
1616		14/118758		14/169		0		51
1618		26/119117		26/359		0		58
1620		29/119543		29/426		0		62
1622		11/119630		11/87		0		61
1624		11/119631		11/1		0		60
1626		11/119632		11/1		0		58
1628		6/119632		6/0		0		66
1630		11/119633		11/1		0		53
1632		6/119634		6/1		0		57
1634		11/119635		11/1		0		60
1636		12/119636		12/1		0		60
1638		6/119636		6/0		0		62
1640		11/119637		11/1		0		62
1642		9/119638		9/1		0		58
1644		5/119638		5/0		0		61
1646		10/119639		10/1		0		57
1648		6/119639		6/0		0		41
1650		10/119640		10/1		0		51
1652		10/119641		10/1		0		55
1654		5/119641		5/0		0		59
1656		11/119642		11/1		0		31
1658		8/119643		8/1		0		37
1660		11/119644		11/1		0		12
1662		10/119645		10/1		0		6
1664		6/119646		6/1		0		48
1666		9/119647		9/1		0		18
1668		9/119648		9/1		0		11
1670		15/119745		15/97		0		50
1672		23/120029		23/284		0		65
1674		8/120030		8/1		0		11
1676		14/120031		14/1		0		63
1678		13/120032		13/1		0		26
1680		7/120032		7/0		0		50
1682		12/120033		12/1		0		58
1684		7/120034		7/1		0		7
1686		11/120035		11/1		0		58
1688		9/120036		9/1		0		12
1690		5/120036		5/0		0		56
1692		11/120037		11/1		0		16
1694		7/120037		7/0		0		21
1696		13/120038		13/1		0		17
1698		13/120039		13/1		0		55
1700		7/120040		7/1		0		62
1702		16/120041		16/1		0		65
1704		14/120042		14/1		0		31
1706		17/120130		17/88		0		55
1708		33/120641		33/511		0		52
1710		15/120841		15/200		0		63
1712		11/120842		11/1		0		50
1714		10/120843		10/1		0		38
1716		5/120843		5/0		0		61
1718		24/121206		24/363		0		55
1720		19/121538		19/332		0		51
1722		29/121996		29/458		0		47
1724		30/122515		30/519		0		56
1726		10/122651		10/136		0		61
1728		8/122652		8/1		0		62
1730		8/122653		8/1		0		53
1732		6/122653		6/0		0		21
1734		28/123081		28/428		0		45
1736		11/123178		11/97		0		53
1738		11/123179		11/1		0		42
1740		9/123180		9/1		0		56
1742		9/123261		9/81		0		47
1744		30/123772		30/511		0		45
1746		6/123772		6/0		0		58
1748		12/123773		12/1		0		8
1750		15/123774		15/1		0		58
1752		18/124039		18/265		0		45
1754		26/124417		26/378		0		62
1756		11/124418		11/1		0		56
1758		6/124419		6/1		0		10
1760		12/124420		12/1		0		65
1762		16/124664		16/244		0		52
1764		29/125143		29/479		0		62
1766		10/125144		10/1		0		52
1768		5/125144		5/0		0		32
1770		9/125145		9/1		0		55
1772		27/125615		27/470		0		13
1774		16/125807		16/192		0		60
1776		10/125808		10/1		0		57
