Got interface enp0s3
Got process 10598
processes: 10598
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		10598
1044		18/426		18/2		0		90
1046		10/427		10/1		0		92
1048		20/429		20/2		0		92
1050		19/431		19/2		0		95
1052		9/432		9/1		0		95
1054		16/433		16/1		0		96
1056		9/434		9/1		0		93
1058		16/435		16/1		0		92
1060		16/436		16/1		0		93
1062		9/437		9/1		0		93
1064		14/438		14/1		0		92
1066		6/439		6/1		0		25
1068		11/440		11/1		0		93
1070		11/441		11/1		0		11
1072		6/441		6/0		0		95
1074		12/442		12/1		0		70
1076		7/443		7/1		0		66
1078		9/444		9/1		0		1
1080		7/445		7/1		0		95
1082		4/445		4/0		0		32
1084		9/446		9/1		0		89
1086		12/447		12/1		0		90
1088		8/448		8/1		0		88
1090		14/449		14/1		0		91
1092		8/450		8/1		0		92
1094		13/451		13/1		0		96
1096		15/452		15/1		0		81
1098		9/453		9/1		0		98
1100		16/454		16/1		0		88
1102		15/455		15/1		0		41
1104		7/455		7/0		0		75
1106		12/456		12/1		0		65
1108		7/457		7/1		0		73
1110		11/458		11/1		0		73
1112		11/459		11/1		0		77
1114		6/459		6/0		0		80
1116		10/460		10/1		0		56
1118		10/461		10/1		0		86
1120		5/461		5/0		0		22
1122		10/462		10/1		0		81
1124		6/462		6/0		0		31
1126		9/463		9/1		0		87
1128		10/464		10/1		0		44
1130		6/465		6/1		0		87
1132		10/466		10/1		0		75
1134		6/466		6/0		0		70
1136		10/467		10/1		0		92
1138		12/468		12/1		0		76
1140		6/468		6/0		0		73
1142		11/469		11/1		0		86
1144		11/470		11/1		0		85
1146		6/470		6/0		0		27
1148		12/471		12/1		0		73
1150		8/471		8/0		0		82
1152		16/472		16/1		0		91
1154		16/473		16/1		0		91
1156		8/473		8/0		0		82
1158		17/475		17/2		0		88
1160		18/476		18/1		0		83
1162		10/477		10/1		0		85
1164		15/478		15/1		0		91
1166		9/479		9/1		0		84
1168		17/480		17/1		0		95
1170		19/482		19/2		0		90
1172		10/483		10/1		0		87
1174		15/484		15/1		0		88
1176		9/485		9/1		0		90
1178		15/487		15/2		0		93
1180		12/488		12/1		0		86
1182		5/488		5/0		0		82
1184		8/489		8/1		0		87
1186		7/490		7/1		0		90
1188		4/490		4/0		0		82
1190		7/491		7/1		0		85
1192		4/491		4/0		0		87
1194		7/492		7/1		0		95
1196		7/493		7/1		0		26
1198		4/493		4/0		0		83
