Got process 3807
Got interface enp0s3
processes: 3807
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		3807
884		11/74885		11/1		0		63
886		27/75251		27/366		0		55
888		18/75509		18/258		0		51
890		26/75770		26/261		0		62
892		9/75771		9/1		0		60
894		13/75772		13/1		0		63
896		17/75773		17/1		0		8
898		11/76051		11/278		0		42
900		36/76496		36/445		0		59
902		12/76761		12/265		0		58
904		28/77236		28/475		0		70
906		17/77252		17/16		0		57
908		7/77252		7/0		0		10
910		16/77253		16/1		0		63
912		16/77274		16/21		0		70
914		26/77716		26/442		0		12
916		22/78146		22/430		0		63
918		16/78252		16/106		0		60
920		26/78678		26/426		0		56
922		19/78940		19/262		0		54
924		21/79332		21/392		0		57
926		24/79371		24/39		0		8
928		3/79371		3/0		0		62
930		17/79372		17/1		0		60
932		24/79542		24/170		0		12
934		14/79837		14/295		0		16
936		24/80275		24/438		0		63
938		17/80502		17/227		0		47
940		29/80923		29/421		0		65
942		8/81127		8/204		0		7
944		16/81381		16/254		0		53
946		26/81777		26/396		0		48
948		18/81987		18/210		0		8
950		17/82282		17/295		0		62
952		21/82680		21/398		0		53
954		12/82863		12/183		0		52
956		23/83201		23/338		0		12
958		12/83504		12/303		0		60
960		18/83831		18/327		0		66
962		25/84204		25/373		0		50
964		22/84472		22/268		0		61
966		22/84888		22/416		0		55
968		8/85090		8/202		0		62
970		12/85091		12/1		0		57
972		13/85092		13/1		0		62
974		4/85092		4/0		0		58
976		26/85365		26/273		0		55
978		18/85641		18/276		0		60
980		0/85641		0/0		0		56
982		9/85641		9/0		0		40
984		13/85642		13/1		0		55
986		26/85956		26/314		0		56
988		19/86374		19/418		0		58
990		9/86374		9/0		0		62
992		16/86375		16/1		0		61
994		4/86375		4/0		0		61
996		19/86733		19/358		0		56
998		23/87127		23/394		0		62
1000		10/87128		10/1		0		35
1002		9/87128		9/0		0		57
1004		17/87129		17/1		0		68
1006		4/87198		4/69		0		55
1008		33/87620		33/422		0		61
1010		2/87687		2/67		0		63
1012		19/87688		19/1		0		65
1014		8/87688		8/0		0		55
1016		11/87745		11/57		0		41
1018		33/88173		33/428		0		58
1020		8/88396		8/223		0		63
1022		18/88398		18/2		0		63
1024		5/88398		5/0		0		66
1026		11/88399		11/1		0		61
1028		22/88733		22/334		0		51
1030		22/89168		22/435		0		59
1032		16/89415		16/247		0		33
1034		23/89843		23/428		0		46
1036		8/89890		8/47		0		63
1038		11/89891		11/1		0		8
1040		18/89892		18/1		0		58
1042		11/89953		11/61		0		60
1044		17/90396		17/443		0		42
1046		17/90589		17/193		0		55
1048		14/90590		14/1		0		63
1050		16/90591		16/1		0		70
1052		6/90591		6/0		0		7
1054		20/90926		20/335		0		66
1056		25/91327		25/401		0		61
1058		10/91343		10/16		0		65
1060		10/91343		10/0		0		62
1062		9/91343		9/0		0		55
1064		20/91436		20/93		0		48
1066		22/91862		22/426		0		45
1068		11/92090		11/228		0		58
1070		12/92097		12/7		0		60
1072		12/92098		12/1		0		58
1074		8/92098		8/0		0		56
1076		23/92420		23/322		0		45
1078		16/92655		16/235		0		57
1080		19/92715		19/60		0		58
1082		12/92716		12/1		0		57
1084		9/92717		9/1		0		56
1086		27/93043		27/326		0		47
1088		14/93302		14/259		0		53
