Got process 7616
Got interface enp0s3
processes: 7616
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		7616
824		16/71925		16/87		0		25
826		22/72323		22/398		0		6
828		23/72600		23/277		0		53
830		12/72601		12/1		0		55
832		8/72602		8/1		0		65
834		14/72603		14/1		0		63
836		6/72603		6/0		0		5
838		27/73001		27/398		0		32
840		44/73852		44/851		0		17
842		12/74004		12/152		0		66
844		10/74005		10/1		0		53
846		15/74123		15/118		0		30
848		23/74543		23/420		0		20
850		15/74635		15/92		0		47
852		6/74635		6/0		0		5
854		22/74900		22/265		0		50
856		22/75177		22/277		0		21
858		7/75177		7/0		0		20
860		15/75195		15/18		0		35
862		33/75704		33/509		0		22
864		7/75705		7/1		0		27
866		13/75706		13/1		0		24
868		19/75994		19/288		0		36
870		46/76792		46/798		0		51
872		22/77013		22/221		0		26
874		6/77013		6/0		0		52
876		15/77082		15/69		0		30
878		24/77511		24/429		0		28
880		21/77714		21/203		0		31
882		14/77715		14/1		0		31
884		14/77857		14/142		0		56
886		25/78106		25/249		0		35
888		15/78107		15/1		0		40
890		10/78183		10/76		0		45
892		28/78571		28/388		0		22
894		10/78572		10/1		0		32
896		6/78572		6/0		0		26
898		40/79301		40/729		0		8
900		25/79782		25/481		0		22
902		23/80073		23/291		0		38
904		10/80074		10/1		0		31
906		6/80075		6/1		0		35
908		30/80547		30/472		0		5
910		11/80548		11/1		0		26
912		5/80548		5/0		0		33
914		33/81123		33/575		0		38
916		10/81124		10/1		0		27
918		6/81124		6/0		0		27
920		28/81558		28/434		0		35
922		9/81633		9/75		0		28
924		10/81634		10/1		0		56
926		19/81880		19/246		0		46
928		30/82475		30/595		0		43
930		12/82488		12/13		0		8
932		12/82489		12/1		0		36
934		19/82796		19/307		0		53
936		14/82903		14/107		0		30
938		6/82903		6/0		0		20
940		20/83155		20/252		0		35
942		23/83479		23/324		0		25
944		5/83479		5/0		0		53
946		11/83515		11/36		0		17
948		33/84041		33/526		0		22
950		7/84041		7/0		0		30
952		11/84042		11/1		0		21
954		7/84043		7/1		0		8
956		11/84044		11/1		0		22
958		24/84324		24/280		0		8
960		27/84822		27/498		0		28
962		24/85105		24/283		0		27
964		12/85106		12/1		0		22
966		9/85176		9/70		0		47
968		26/85553		26/377		0		6
970		6/85553		6/0		0		22
972		11/85562		11/9		0		27
974		40/86249		40/687		0		43
976		7/86249		7/0		0		17
978		13/86250		13/1		0		41
980		31/86714		31/464		0		18
982		17/86949		17/235		0		36
984		12/86950		12/1		0		57
986		6/86950		6/0		0		28
988		32/87487		32/537		0		46
990		44/88312		44/825		0		20
992		13/88465		13/153		0		33
994		12/88466		12/1		0		15
996		14/88558		14/92		0		38
998		26/89044		26/486		0		31
1000		13/89093		13/49		0		26
1002		12/89094		12/1		0		37
1004		17/89344		17/250		0		57
1006		27/89703		27/359		0		26
1008		6/89703		6/0		0		41
1010		11/89704		11/1		0		26
1012		35/90301		35/597		0		40
1014		7/90301		7/0		0		10
1016		12/90302		12/1		0		3
1018		30/90741		30/439		0		10
1020		14/90927		14/186		0		7
1022		46/91773		46/846		0		52
1024		24/92219		24/446		0		27
1026		31/92735		31/516		0		1
1028		16/92849		16/114		0		11
1030		6/92849		6/0		0		31
